iter	Passed	Remaining
628	7700	4541
629	7712	4529
630	7723	4516
631	7735	4504
632	7745	4490
633	7759	4479
634	7772	4467
635	7785	4456
636	7797	4443
637	7809	4431
638	7820	4418
639	7832	4405
640	7842	4392
641	7856	4380
642	7868	4368
643	7881	4356
644	7893	4344
645	7906	4332
646	7917	4319
647	7928	4306
648	7938	4293
649	7951	4281
650	7963	4269
651	7973	4255
652	7986	4243
653	7999	4232
654	8012	4220
655	8025	4208
656	8036	4195
657	8049	4183
658	8061	4171
659	8071	4157
660	8084	4146
661	8098	4134
662	8109	4122
663	8120	4108
664	8131	4096
665	8142	4083
666	8156	4072
667	8166	4059
668	8178	4046
669	8189	4033
670	8204	4022
671	8217	4010
672	8228	3998
673	8239	3985
674	8252	3973
675	8262	3960
676	8274	3947
677	8284	3934
678	8300	3923
679	8313	3912
680	8324	3899
681	8334	3886
682	8347	3874
683	8358	3861
684	8370	3849
685	8381	3836
686	8394	3824
687	8407	3812
688	8424	3802
689	8436	3790
690	8449	3778
691	8459	3765
692	8471	3752
693	8481	3739
694	8495	3728
695	8507	3715
696	8521	3704
697	8533	3692
698	8546	3680
699	8557	3667
700	8569	3655
701	8580	3642
702	8593	3630
703	8606	3618
704	8619	3606
705	8632	3594
706	8644	3582
707	8655	3569
708	8667	3557
709	8678	3544
710	8690	3532
711	8703	3520
712	8716	3508
713	8729	3496
714	8742	3484
715	8753	3471
716	8764	3459
717	8774	3446
718	8787	3434
719	8799	3422
720	8810	3409
721	8823	3397
722	8839	3386
723	8850	3374
724	8862	3361
725	8872	3348
726	8885	3336
727	8897	3324
728	8907	3311
729	8920	3299
730	8934	3287
731	8946	3275
732	8956	3262
733	8966	3249
734	8980	3237
735	8993	3225
736	9003	3212
737	9016	3200
738	9029	3188
739	9042	3176
740	9051	3163
741	9062	3151
742	9074	3138
743	9088	3127
744	9098	3114
745	9110	3101
746	9121	3089
747	9137	3078
748	9150	3066
749	9161	3053
750	9173	3041
751	9187	3029
752	9197	3016
753	9209	3004
754	9220	2992
755	9243	2983
756	9255	2971
757	9265	2958
758	9276	2945
759	9287	2933
760	9298	2920
761	9309	2907
762	9322	2895
763	9335	2883
764	9347	2871
765	9358	2858
766	9370	2846
767	9380	2833
768	9391	2821
769	9403	2808
770	9413	2795
771	9424	2783
772	9437	2771
773	9450	2759
774	9460	2746
775	9473	2734
776	9484	2722
777	9494	2709
778	9505	2696
779	9517	2684
780	9527	2671
781	9540	2659
782	9552	2647
783	9564	2635
784	9574	2622
785	9586	2610
786	9599	2598
787	9611	2585
788	9622	2573
789	9635	2561
790	9648	2549
791	9660	2537
792	9671	2524
793	9682	2512
794	9693	2499
795	9703	2486
796	9716	2474
797	9728	2462
798	9738	2449
799	9750	2437
800	9764	2425
801	9776	2413
802	9786	2401
803	9797	2388
804	9809	2376
805	9819	2363
806	9830	2350
807	9842	2338
808	9852	2326
809	9865	2314
810	9878	2302
811	9889	2289
812	9899	2277
813	9911	2264
814	9922	2252
815	9932	2239
816	9944	2227
817	9955	2215
818	9969	2203
819	9981	2190
820	9992	2178
821	10004	2166
822	10014	2153
823	10028	2141
824	10040	2129
825	10050	2117
826	10064	2105
827	10076	2093
828	10089	2081
829	10100	2068
830	10111	2056
831	10123	2044
832	10134	2031
833	10145	2019
834	10157	2007
835	10171	1995
836	10184	1983
837	10195	1970
838	10207	1958
839	10218	1946
840	10227	1933
841	10239	1921
842	10251	1909
843	10261	1896
844	10273	1884
845	10286	1872
846	10298	1860
847	10308	1847
848	10319	1835
849	10331	1823
850	10341	1810
851	10353	1798
852	10365	1786
853	10377	1774
854	10390	1762
855	10402	1749
856	10414	1737
857	10426	1725
858	10437	1713
859	10449	1701
860	10461	1688
861	10474	1676
862	10486	1664
863	10499	1652
864	10511	1640
865	10521	1628
866	10532	1615
867	10544	1603
868	10554	1591
869	10567	1579
870	10580	1566
871	10593	1555
872	10605	1542
873	10615	1530
874	10627	1518
875	10637	1505
876	10648	1493
877	10661	1481
878	10673	1469
879	10685	1457
880	10698	1445
881	10711	1433
882	10722	1420
883	10732	1408
884	10744	1396
885	10755	1383
886	10765	1371
887	10776	1359
888	10788	1347
889	10801	1335
890	10814	1322
891	10828	1311
892	10840	1298
893	10850	1286
894	10861	1274
895	10873	1262
896	10883	1249
897	10897	1237
898	10911	1225
899	10922	1213
900	10933	1201
901	10944	1189
902	10955	1176
903	10965	1164
904	10976	1152
905	10990	1140
906	11003	1128
907	11014	1116
908	11025	1103
909	11037	1091
910	11048	1079
911	11058	1067
912	11070	1054
913	11080	1042
914	11092	1030
915	11105	1018
916	11118	1006
917	11129	994
918	11140	981
919	11151	969
920	11162	957
921	11172	945
922	11185	933
923	11197	921
924	11209	908
925	11222	896
926	11236	884
927	11248	872
928	11258	860
929	11269	848
930	11281	836
931	11294	824
932	11307	811
933	11319	799
934	11332	787
935	11343	775
936	11353	763
937	11364	751
938	11377	739
939	11388	726
940	11400	714
941	11413	702
942	11426	690
943	11437	678
944	11447	666
945	11459	654
946	11469	641
947	11483	629
948	11494	617
949	11505	605
950	11518	593
951	11531	581
952	11543	569
953	11553	557
954	11563	544
955	11575	532
956	11587	520
957	11597	508
958	11609	496
959	11619	484
960	11640	472
961	11652	460
962	11662	448
963	11675	436
964	11687	423
965	11698	411
966	11709	399
967	11721	387
968	11735	375
969	11747	363
970	11758	351
971	11770	339
972	11782	326
973	11792	314
974	11804	302
975	11814	290
976	11830	278
977	11843	266
978	11854	254
979	11865	242
980	11877	230
981	11888	217
982	11900	205
983	11910	193
984	11922	181
985	11935	169
986	11947	157
987	11960	145
988	11972	133
989	11984	121
990	11994	108
991	12007	96
992	12021	84
993	12034	72
994	12046	60
995	12059	48
996	12070	36
997	12082	24
998	12092	12
999	12105	0
